1004,1,51557,18
1470,6,51557,18
1932,12,51557,18
2399,17,51557,18
2861,15,51558,18
3328,15,51561,18
3795,15,51566,18
4261,17,51571,18
4728,17,51577,18
5195,15,51585,18
5661,17,51593,18
6127,19,51603,18
6591,11,51614,18
7060,17,51625,18
7542,17,51637,18
7992,19,51649,18
8459,15,51662,18
8921,17,51675,18
9388,19,51691,18
9871,19,51703,18
10337,19,51718,18
10802,17,51733,18
11269,18,51749,18
11735,14,51766,18
12202,14,51784,18
12668,16,51804,18
13116,15,51824,18
13598,20,51845,18
14067,17,51867,18
14534,19,51890,18
15056,16,51918,18
15538,15,51942,18
15988,17,51967,18
16455,15,51992,18
16917,19,52016,18
17402,16,52040,18
17863,17,52064,18
18330,14,52087,18
18795,18,52109,18
19261,15,52131,18
19728,16,52152,18
20195,12,52176,18
20662,20,52193,18
21128,18,52213,18
21592,19,52233,18
22061,15,52252,18
22528,20,52270,18
22994,15,52289,18
23460,18,52306,18
23923,15,52323,18
24389,20,52340,18
24851,17,52356,18
25318,19,52373,18
25801,16,52391,18
26268,16,52404,18
26733,16,52419,18
27200,17,52433,18
27665,16,52447,18
28131,17,52459,18
28595,17,52470,18
29064,19,52481,18
29546,19,52491,18
30052,20,52501,18
30519,18,52510,18
30986,16,52517,18
31452,26,52523,18
31933,17,52528,18
32400,17,52532,18
32862,18,52535,18
33329,17,52537,18
33795,17,52539,18
34262,14,52540,18
34728,16,52541,18
35194,17,52543,18
35660,17,52543,18
36127,19,52545,18
36591,20,52546,18
37059,18,52547,18
37541,16,52549,18
37992,17,52552,18
38458,20,52554,18
38921,17,52558,18
39387,18,52562,18
39852,16,52566,18
40319,17,52571,18
40802,18,52576,18
41269,17,52582,18
41716,17,52588,18
42183,19,52595,18
42667,15,52603,18
43134,17,52611,18
43597,16,52619,18
44066,17,52627,18
44533,17,52635,18
45054,17,52644,18
45537,19,52652,18
45987,18,52659,18
46454,19,52665,18
46935,16,52670,18
47401,18,52676,18
47863,19,52680,18
48329,18,52684,18
48794,18,52687,18
49260,18,52691,18
49727,20,52694,18
50194,17,52696,18
50661,17,52698,18
51128,16,52701,18
51591,18,52703,18
52060,16,52706,18
52527,18,52709,18
52992,17,52712,18
53459,18,52715,18
53921,17,52719,18
54388,18,52722,18
54850,18,52726,18
55316,18,52730,18
55800,18,52734,18
56266,17,52738,18
56731,18,52742,18
57198,16,52748,18
57663,17,52751,18
58130,17,52755,18
58594,17,52758,18
59062,17,52762,18
59545,18,52766,18
60051,19,52770,18
60552,17,52773,18
61058,17,52776,18
61525,16,52779,18
61992,17,52781,18
62458,17,52783,18
62996,16,52785,18
63462,17,52786,18
63999,18,52787,18
64466,20,52787,18
64983,16,52788,18
65468,16,52788,18
65931,17,52788,18
66398,17,52788,18
66865,18,52788,18
67332,18,52788,18
67796,17,52786,18
68263,19,52784,18
68728,18,52782,18
69194,17,52780,18
69659,17,52778,18
70125,17,52777,18
70588,20,52775,18
71057,16,52774,18
71540,19,52772,18
71992,17,52770,18
72458,19,52770,18
72995,18,52768,18
73462,17,52768,18
73924,17,52766,18
74391,17,52766,18
74855,17,52766,18
75322,19,52766,18
75787,15,52766,18
76254,22,52766,18
76719,19,52766,18
77186,16,52766,18
77652,17,52766,18
78118,18,52767,18
78600,18,52767,18
79069,17,52769,18
79517,17,52770,18
79997,16,52771,18
80464,19,52772,18
80982,18,52773,18
81468,17,52775,18
81987,15,52775,18
82453,19,52776,18
82916,15,52777,18
83383,18,52777,18
83849,17,52777,18
84316,28,52777,18
84783,20,52778,18
85249,18,52779,18
85716,18,52779,18
86183,17,52779,18
86649,18,52779,18
87116,17,52779,18
87599,16,52779,18
88049,16,52779,18
88531,18,52779,18
89000,19,52779,18
89467,18,52779,18
89986,16,52779,18
90452,17,52779,18
90933,18,52779,18
91400,18,52779,18
91866,18,52778,18
92333,17,52778,18
92800,16,52778,18
