1375,-1,55038
1918,-11,55038
2466,-15,55038
3043,-15,55037
3590,-17,55034
4177,-17,55028
4730,-18,55022
5246,-17,55015
5799,-18,55006
6379,-17,54996
6921,-17,54985
7436,-18,54973
8043,-17,54959
8590,-19,54944
9177,-17,54927
9729,-18,54911
10244,-18,54891
10795,-18,54873
11310,-19,54852
11858,-19,54829
12373,-18,54804
12919,-20,54777
13466,-18,54748
14043,-23,54714
14619,-15,54682
15170,-33,54644
15720,-20,54610
16267,-20,54576
16853,-22,54539
17401,-22,54510
17977,-20,54480
18525,-23,54456
19110,-21,54434
19654,-24,54419
20173,-21,54409
20725,-21,54402
21240,-23,54400
21794,-19,54400
22310,-20,54404
22863,-20,54412
23378,-16,54422
23920,-18,54433
24468,-17,54443
25042,-21,54454
25589,-21,54463
26176,-18,54471
26728,-18,54476
27243,-19,54480
27793,-19,54481
28308,-18,54482
28855,-20,54482
29371,-18,54481
29916,-19,54477
30464,-21,54469
31041,-20,54461
31617,-20,54452
32200,-8,54440
32784,-18,54426
33331,-17,54413
33851,-21,54399
34398,-22,54385
34910,-17,54370
35457,-21,54354
36065,-17,54336
36612,-20,54321
37199,-13,54304
37721,-16,54290
38268,-22,54276
38852,-21,54264
39400,-22,54254
39974,-22,54245
40522,-18,54239
41129,-14,54233
41643,-17,54229
42194,-22,54226
42709,-15,54224
43257,-25,54222
43805,-22,54221
44385,-20,54220
44930,-15,54219
45445,-18,54217
46053,-15,54215
46599,-23,54212
47186,-17,54208
47737,-16,54204
48317,-23,54199
48838,-22,54194
49385,-18,54190
49929,-21,54184
50444,-21,54178
50988,-19,54172
51536,-19,54165
52121,-16,54156
52674,-22,54147
53254,-13,54138
53775,-10,54128
54323,-16,54117
54842,-19,54105
55390,-16,54091
55932,-18,54077
56447,-20,54058
57054,-16,54040
57632,-17,54020
58183,-16,53996
58730,-29,53971
59245,-25,53941
59796,-13,53915
60312,-27,53885
60865,-13,53855
61380,-14,53826
61923,-26,53797
62471,-28,53770
63046,-26,53743
63625,-28,53721
64180,-25,53700
64733,-23,53684
65249,-21,53671
65802,-9,53660
66382,-25,53648
66924,-24,53640
67471,-27,53632
68046,-25,53624
68592,-9,53617
69179,-11,53608
69731,-22,53599
70247,-24,53589
70796,-25,53578
71312,-27,53565
71859,-24,53552
72374,-23,53537
72920,-30,53520
73468,-24,53503
74044,-25,53482
74621,-10,53463
75204,-25,53442
75788,-28,53421
76335,-26,53404
76855,-24,53387
77402,-23,53370
77914,-11,53354
78462,-23,53337
79069,-22,53322
79616,-12,53306
80203,-24,53289
80789,-23,53270
81337,-22,53254
81919,-12,53233
82466,-22,53213
83072,-24,53189
83651,-13,53164
84202,-13,53139
84723,-14,53114
85271,-23,53089
85856,-24,53061
86404,-16,53036
86979,-24,53009
87526,-25,52986
88133,-24,52961
88648,-18,52940
89199,-20,52919
89716,-19,52898
90264,-22,52877
90779,-19,52856
91327,-18,52834
91844,-18,52811
92392,-19,52788
92938,-17,52764
93518,-19,52736
94126,-18,52710
94675,-20,52687
95255,-21,52663
95808,-21,52643
96388,-24,52623
96932,-20,52606
97447,-25,52590
97989,-19,52574
98537,-18,52559
99122,-19,52541
99676,-20,52524
100255,-18,52503
100776,-17,52483
101324,-19,52460
101843,-16,52432
102390,-18,52407
102932,-20,52377
103448,-21,52346
104053,-19,52308
104630,-20,52273
105181,-19,52233
105728,-23,52197
106243,-22,52162
106796,-19,52129
107343,-17,52096
107927,-22,52060
108474,-14,52029
109052,-20,51996
109628,-15,51967
110179,-22,51937
110730,-23,51913
111246,-21,51890
111800,-21,51869
112315,-21,51851
112868,-17,51834
113384,-17,51817
113926,-22,51802
114473,-22,51786
115048,-29,51769
115594,-23,51752
116181,-20,51732
116732,-29,51712
117247,-21,51691
117795,-26,51669
118310,-24,51644
118857,-26,51617
119405,-17,51589
119983,-25,51555
120531,-22,51523
121116,-19,51482
121663,-12,51449
122178,-23,51420
122726,-27,51386
123274,-20,51352
123859,-22,51315
124407,-12,51281
124984,-19,51243
125531,-21,51208
126117,-21,51169
126661,-16,51134
127179,-21,51099
127730,-22,51065
128246,-24,51032
128800,-25,51001
129315,-24,50971
129868,-22,50943
130384,-17,50914
130926,-11,50886
131473,-20,50858
132048,-23,50826
132594,-24,50797
133181,-22,50764
133733,-21,50735
134248,-18,50704
134795,-23,50680
135311,-19,50654
135858,-19,50630
136406,-22,50606
136920,-23,50583
137468,-20,50560
138045,-22,50534
138622,-19,50510
139209,-19,50482
139790,-18,50453
140338,-19,50425
140859,-17,50397
141406,-20,50367
141919,-19,50336
142466,-19,50305
143073,-19,50266
143621,-20,50234
144208,-19,50202
144800,-18,50164
145315,-18,50130
145868,-21,50094
146383,-16,50057
146927,-18,50018
147475,-19,49978
148049,-19,49934
148628,-22,49896
149183,-19,49856
149735,-20,49822
150250,-18,49790
150804,-18,49759
151320,-18,49729
151873,-23,49699
152388,-22,49668
152930,-24,49638
153477,-19,49607
154052,-23,49568
154598,-22,49537
155185,-16,49507
155735,-34,49476
156251,-22,49446
156798,-18,49416
157346,-17,49384
157927,-16,49347
158475,-17,49313
159052,-30,49267
159628,-14,49233
160211,-13,49190
160791,-32,49147
161338,-26,49110
161859,-30,49073
162406,-12,49038
162919,-12,49003
163466,-11,48969
164072,-10,48930
164620,-10,48895
165207,-22,48856
165728,-10,48821
166275,-24,48787
166797,-22,48753
167344,-23,48720
167926,-11,48683
168474,-29,48653
169080,-25,48620
169658,-12,48586
170209,-12,48556
170795,-26,48520
171343,-26,48486
171925,-13,48446
172472,-23,48409
173078,-26,48363
173657,-16,48324
174208,-17,48286
174729,-25,48247
175277,-23,48207
175863,-22,48156
176410,-18,48120
176985,-18,48071
177533,-20,48027
178140,-19,47978
178655,-22,47937
179206,-19,47898
179724,-22,47861
180272,-19,47827
180787,-22,47795
181335,-25,47764
181852,-20,47732
182400,-20,47700
182945,-19,47667
183524,-21,47630
184132,-20,47592
184681,-17,47558
185261,-22,47519
185781,-20,47485
186329,-21,47450
186850,-17,47413
187398,-13,47375
187940,-22,47334
188455,-24,47292
189062,-22,47245
189608,-19,47202
190195,-20,47156
190715,-18,47117
191263,-19,47079
191813,-18,47042
192393,-18,47000
192936,-17,46962
193451,-20,46924
194057,-12,46879
194633,-22,46839
195184,-27,46794
195732,-24,46754
196280,-23,46714
196865,-22,46664
197413,-12,46623
197990,-16,46582
198537,-22,46541
199123,-26,46493
199667,-24,46451
200185,-25,46410
200736,-12,46372
201252,-22,46334
201806,-29,46299
202321,-16,46264
202874,-14,46229
203390,-15,46194
203932,-17,46159
204479,-17,46123
205054,-21,46082
205633,-23,46045
206187,-17,46004
206739,-20,45969
207255,-19,45933
207804,-19,45898
208320,-21,45863
208867,-21,45827
209383,-21,45789
209931,-21,45751
210479,-20,45711
211056,-19,45665
211632,-20,45624
212215,-18,45578
212797,-18,45532
213344,-18,45491
213865,-21,45449
214413,-16,45405
214989,-18,45354
215537,-19,45308
216122,-21,45257
216666,-21,45207
217185,-19,45170
217736,-20,45130
218252,-21,45092
218805,-18,45055
219320,-21,45018
219873,-14,44981
220388,-22,44944
220930,-14,44907
221478,-15,44870
222052,-22,44829
222631,-19,44792
223186,-19,44752
223736,-19,44715
224252,-18,44676
224799,-17,44634
225347,-16,44590
225928,-15,44538
226475,-12,44493
227081,-12,44442
227661,-6,44393
228208,-7,44351
228725,-9,44310
229273,-10,44270
229794,-25,44224
230341,-24,44188
230863,-24,44140
231411,-27,44097
231922,-26,44060
232469,-32,44013
233077,-25,43971
233624,-23,43930
234211,-12,43884
234733,-12,43842
235280,-14,43800
235866,-14,43752
236413,-14,43710
236923,-24,43669
237471,-23,43624
238078,-17,43585
238624,-27,43546
239211,-15,43502
239731,-18,43463
240279,-22,43417
240794,-18,43381
241342,-18,43339
241857,-20,43297
242405,-18,43255
242951,-22,43215
243531,-20,43171
244139,-20,43126
244651,-20,43086
245206,-18,43046
245724,-20,43004
246271,-20,42961
246792,-19,42918
247340,-19,42874
247861,-19,42831
248409,-18,42789
248918,-15,42747
249466,-20,42704
250073,-24,42655
250619,-15,42610
251206,-21,42559
251726,-19,42515
252274,-17,42473
252791,-20,42433
253339,-17,42395
253854,-19,42358
254401,-16,42321
254946,-19,42285
255462,-14,42242
256068,-14,42204
256644,-16,42164
257199,-26,42118
257719,-23,42078
258266,-28,42038
258787,-22,41996
259335,-29,41952
259856,-23,41907
260403,-13,41861
260945,-23,41814
261461,-12,41767
262002,-25,41722
262549,-16,41678
263134,-25,41631
263685,-26,41590
264265,-13,41546
264812,-22,41507
265328,-17,41467
265876,-17,41421
266391,-18,41381
266936,-23,41345
267483,-22,41305
268057,-18,41259
268636,-18,41218
269190,-19,41171
269743,-20,41128
270258,-20,41085
270812,-19,41041
271327,-19,40996
271880,-19,40953
272395,-21,40910
272937,-18,40868
273485,-20,40826
274059,-17,40780
274637,-20,40739
275192,-18,40692
275743,-24,40651
276258,-24,40610
276805,-20,40569
277321,-20,40529
277870,-21,40491
278418,-20,40454
278994,-18,40412
279542,-20,40376
280127,-20,40334
280674,-22,40291
281189,-22,40257
281739,-14,40218
282254,-15,40178
282807,-22,40138
283323,-22,40098
283876,-19,40057
284391,-18,40015
284933,-34,39971
285481,-17,39924
286055,-28,39870
286634,-13,39821
287189,-12,39768
287741,-10,39722
288256,-10,39680
288804,-9,39638
289351,-10,39597
289931,-25,39551
290479,-25,39510
291084,-10,39465
291660,-10,39420
292211,-23,39381
292727,-24,39343
293275,-23,39306
293796,-23,39268
294344,-23,39230
294866,-13,39191
295413,-13,39150
295924,-23,39108
296472,-15,39066
297079,-24,39019
297627,-26,38978
298214,-15,38934
298735,-18,38894
299283,-17,38849
299803,-18,38814
300351,-18,38772
300935,-18,38723
301483,-20,38678
302057,-20,38628
302636,-13,38584
303191,-22,38535
303743,-19,38492
304259,-19,38444
304812,-20,38406
305328,-19,38363
305880,-19,38321
306396,-19,38278
306937,-21,38237
307485,-21,38197
308060,-16,38154
308638,-24,38117
309193,-26,38076
309743,-24,38039
310259,-18,38002
310806,-19,37963
311354,-21,37925
311935,-20,37881
312483,-21,37843
313056,-17,37800
313632,-21,37763
314216,-16,37722
314733,-22,37684
315280,-14,37646
315801,-25,37607
316349,-16,37566
316871,-11,37518
317419,-18,37474
317994,-16,37431
318542,-10,37386
319149,-26,37336
319664,-24,37292
320215,-25,37246
320734,-16,37200
321282,-23,37154
321800,-12,37108
322348,-15,37064
322863,-22,37022
323411,-18,36984
323924,-25,36947
324472,-21,36912
325077,-26,36874
325593,-26,36840
326209,-15,36802
326759,-19,36768
327338,-18,36729
327859,-17,36694
328407,-17,36659
328950,-22,36623
329466,-18,36588
330010,-19,36551
330557,-21,36513
331132,-19,36469
331682,-19,36427
332197,-17,36385
332745,-19,36342
333260,-21,36299
333811,-18,36257
334326,-20,36217
334879,-20,36178
335395,-19,36140
335937,-17,36102
336485,-17,36063
337060,-21,36019
337640,-19,35979
338195,-20,35935
338748,-19,35895
339263,-21,35856
339816,-19,35819
340331,-17,35782
340882,-19,35745
341397,-16,35709
341939,-22,35672
342487,-15,35634
343061,-16,35591
343638,-20,35554
344193,-23,35512
344751,-22,35476
345267,-20,35441
345814,-19,35407
346329,-19,35372
346878,-17,35337
347393,-18,35301
347944,-16,35263
348459,-28,35220
349065,-13,35180
349641,-12,35140
350196,-12,35096
350746,-10,35059
351262,-25,35021
351815,-33,34986
352330,-25,34951
352883,-25,34917
353398,-10,34882
353940,-10,34846
354488,-25,34809
355062,-29,34768
355641,-25,34732
356196,-11,34691
356748,-23,34657
357263,-24,34622
357811,-28,34588
358326,-24,34553
358873,-24,34518
359421,-14,34482
359935,-25,34445
360483,-14,34407
361090,-24,34364
361667,-25,34323
362218,-27,34288
362739,-17,34255
363287,-24,34223
363809,-22,34191
364356,-17,34160
364942,-17,34124
365489,-17,34090
366067,-19,34052
366643,-19,34016
367198,-19,33975
367747,-20,33938
368262,-20,33901
368815,-22,33864
369331,-24,33827
369885,-20,33790
370400,-10,33753
370942,-19,33715
371490,-18,33677
372064,-22,33635
372643,-20,33598
373198,-19,33559
373751,-19,33526
374266,-20,33492
374816,-17,33467
375364,-21,33440
375944,-20,33410
376491,-20,33383
377066,-20,33352
377644,-21,33322
378199,-17,33287
378748,-21,33254
379264,-21,33214
379811,-18,33182
380358,-19,33145
380941,-16,33104
381489,-19,33067
382095,-25,33025
382674,-24,32978
383221,-15,32945
383739,-20,32906
384287,-21,32867
384808,-25,32829
385355,-27,32792
385876,-27,32756
386424,-22,32723
386998,-24,32690
387545,-26,32662
388153,-28,32632
388667,-21,32606
389218,-23,32579
389736,-25,32552
390284,-23,32524
390799,-25,32495
391347,-31,32464
391864,-25,32434
392412,-28,32403
392961,-10,32372
393540,-21,32338
394150,-16,32304
394694,-18,32275
395277,-22,32242
395797,-17,32213
396345,-18,32183
396866,-13,32152
397414,-21,32120
397957,-14,32088
398472,-13,32055
399013,-18,32022
399529,-18,31989
400138,-23,31954
400686,-23,31923
401201,-23,31892
401748,-16,31862
402296,-17,31833
402881,-18,31799
403429,-22,31768
404006,-18,31733
404553,-20,31701
405139,-20,31666
405683,-20,31636
406201,-21,31607
406752,-20,31580
407268,-20,31555
407821,-21,31532
408336,-22,31510
408889,-20,31489
409404,-19,31468
409946,-13,31447
410494,-21,31423
411068,-18,31401
411647,-22,31376
412202,-20,31348
412754,-17,31321
413269,-17,31293
413817,-22,31265
414332,-19,31235
414880,-19,31206
415427,-21,31177
416006,-20,31145
416554,-20,31117
417130,-22,31086
417674,-17,31058
418225,-20,31030
418746,-20,31002
419293,-20,30974
419879,-17,30943
420427,-23,30915
421002,-21,30886
421550,-24,30862
422157,-18,30836
422672,-23,30816
423223,-23,30797
