930,1,54644
1532,2,54544
2135,-2,54444
2734,-1,54343
3398,0,54231
4002,2,54129
4601,1,54027
5203,7,53927
5802,4,53827
6458,1,53716
7057,6,53616
7656,-5,53513
8257,4,53410
8885,1,53306
9518,2,53192
10116,6,53089
10715,1,52985
11313,0,52882
11941,-2,52778
12511,-2,52670
13109,0,52561
13708,-1,52452
14339,2,52342
14935,2,52233
15538,1,52122
16136,-3,52011
16735,-1,51898
17394,-5,51770
17994,-3,51656
18593,-2,51543
19191,1,51428
19790,-6,51313
20449,-8,51186
21050,0,51072
21649,-1,50959
22249,-1,50847
22848,-1,50733
23511,0,50606
24116,1,50491
24715,0,50378
25317,0,50265
25912,0,50152
26512,0,50038
27113,7,49921
27712,2,49804
28311,0,49687
28939,3,49569
29541,0,49448
30139,6,49326
30738,3,49203
31396,4,49063
32004,12,48937
32603,3,48808
33204,6,48677
33803,5,48544
34461,1,48396
35064,3,48264
35663,0,48130
36265,3,47995
36864,-1,47858
37525,3,47706
38129,0,47570
38728,0,47434
39393,-1,47283
39992,-10,47145
40591,2,47009
41189,28,46874
41788,-3,46739
42381,-3,46603
42980,0,46466
43579,-3,46328
44210,0,46190
44809,0,46053
45467,0,45899
46065,-3,45761
46664,0,45609
47264,1,45487
47892,0,45349
48525,0,45193
49123,1,45052
49722,10,44911
50385,4,44754
50984,1,44612
51583,6,44466
52181,1,44318
52780,5,44169
53406,1,44018
54005,9,43866
54604,0,43711
55202,4,43556
55801,3,43399
56459,1,43205
57057,-5,43062
57656,2,42903
58255,0,42743
58854,-9,42583
59517,-3,42405
60115,-3,42247
60714,-3,42090
61312,-6,41935
61942,-3,41779
62512,0,41625
63115,-1,41470
63714,-1,41315
64314,-1,41160
64912,-2,41006
65545,0,40850
66116,4,40694
66715,0,40537
67316,0,40378
67943,2,40221
68513,2,40062
69112,-1,39901
69743,3,39735
70400,8,39549
70999,7,39380
71598,4,39208
72196,3,39035
72795,0,38860
73452,1,38662
74051,0,38481
74650,2,38279
75250,0,38117
75849,-8,37934
76479,-3,37749
77078,-2,37568
77677,0,37367
78276,1,37206
78905,-3,37025
79537,-1,36825
80136,0,36647
80735,-3,36470
81397,0,36274
81999,17,36098
82598,-1,35924
83200,0,35749
83799,-1,35573
